               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/player_mAP,metrics/player_mAP_50
                   0,             0.10743,            0.023803,                   0,          0.00037778,             0.17526,          0.00024416,          9.2608e-05,             0.10233,            0.017505,                   0,              0.0811,              0.0021,              0.0021,          9.2608e-05,          0.00024416
                   1,             0.10419,            0.022727,                   0,          0.00042222,             0.19588,           0.0003111,          0.00011356,             0.10081,             0.01675,                   0,            0.061272,           0.0042716,           0.0042716,          0.00011356,           0.0003111
                   2,            0.099544,             0.02051,                   0,          0.00044444,             0.20619,          0.00027553,          0.00011148,            0.099287,            0.017003,                   0,            0.041414,           0.0064142,           0.0064142,          0.00011148,          0.00027553
                   3,            0.097518,            0.019424,                   0,          0.00053333,             0.24742,          0.00033785,          0.00012282,            0.097841,            0.016694,                   0,            0.021528,           0.0085277,           0.0085277,          0.00012282,          0.00033785
                   4,             0.10072,            0.020341,                   0,          0.00053333,             0.24742,          0.00042711,          0.00011174,            0.097432,            0.015793,                   0,            0.009736,            0.009736,            0.009736,          0.00011174,          0.00042711
                   5,            0.099142,            0.018064,                   0,          0.00024444,              0.1134,          0.00014926,          5.7286e-05,             0.12444,            0.011949,                   0,            0.009736,            0.009736,            0.009736,          5.7286e-05,          0.00014926
                   6,            0.093792,            0.017186,                   0,          0.00022222,             0.10309,          0.00012866,          3.9404e-05,                 nan,                 nan,                   0,             0.00967,             0.00967,             0.00967,          3.9404e-05,          0.00012866
                   7,             0.09846,            0.016052,                   0,          0.00020067,            0.092784,          0.00012042,          4.3824e-05,                 nan,                 nan,                   0,            0.009604,            0.009604,            0.009604,          4.3824e-05,          0.00012042
                   8,            0.094968,            0.015451,                   0,          0.00026764,             0.12371,          0.00027258,          9.5213e-05,                 nan,                 nan,                   0,            0.009538,            0.009538,            0.009538,          9.5213e-05,          0.00027258
                   9,            0.092401,            0.014063,                   0,          0.00028927,             0.13402,          0.00046179,          8.5028e-05,             0.11825,           0.0093063,                   0,            0.009472,            0.009472,            0.009472,          8.5028e-05,          0.00046179
                  10,            0.091751,            0.013891,                   0,          0.00042316,             0.19588,            0.001133,          0.00025649,             0.11383,           0.0096991,                   0,            0.009406,            0.009406,            0.009406,          0.00025649,            0.001133
